instrument,alpha,key,text,label,row,scale,item
NEO,0.71,1,Try to follow the rules.,Dutifulness,3249,NEO_Dutifulness,NEO_Dutifulness_05
NEO,0.71,-1,Break rules.,Dutifulness,3250,NEO_Dutifulness,NEO_Dutifulness_06
NEO,0.71,-1,Misrepresent the facts.,Dutifulness,3251,NEO_Dutifulness,NEO_Dutifulness_07
NEO,0.71,-1,Break my promises.,Dutifulness,3252,NEO_Dutifulness,NEO_Dutifulness_08
NEO,0.71,-1,Do the opposite of what is asked.,Dutifulness,3253,NEO_Dutifulness,NEO_Dutifulness_09
NEO,0.71,-1,Get others to do my duties.,Dutifulness,3254,NEO_Dutifulness,NEO_Dutifulness_10
NEO,0.81,1,Experience my emotions intensely.,Emotionality,3255,NEO_Emotionality,NEO_Emotionality_01
NEO,0.81,1,Feel others' emotions.,Emotionality,3256,NEO_Emotionality,NEO_Emotionality_02
NEO,0.81,1,Try to understand myself.,Emotionality,3257,NEO_Emotionality,NEO_Emotionality_03
NEO,0.81,1,Am passionate about causes.,Emotionality,3258,NEO_Emotionality,NEO_Emotionality_04
NEO,0.81,1,Enjoy examining myself and my life.,Emotionality,3259,NEO_Emotionality,NEO_Emotionality_05
NEO,0.81,-1,Seldom get emotional.,Emotionality,3260,NEO_Emotionality,NEO_Emotionality_06
NEO,0.81,-1,Experience very few emotional highs and lows.,Emotionality,3261,NEO_Emotionality,NEO_Emotionality_07
NEO,0.81,-1,Am not easily affected by my emotions.,Emotionality,3262,NEO_Emotionality,NEO_Emotionality_08
NEO,0.81,-1,Don't understand people who get emotional.,Emotionality,3263,NEO_Emotionality,NEO_Emotionality_09
NEO,0.81,-1,Rarely notice my emotional reactions.,Emotionality,3264,NEO_Emotionality,NEO_Emotionality_10
NEO,0.78,1,Love excitement.,Excitement-Seeking,3265,NEO_Excitement-Seeking,NEO_Excitement-Seeking_01
NEO,0.78,1,Enjoy being part of a loud crowd.,Excitement-Seeking,3266,NEO_Excitement-Seeking,NEO_Excitement-Seeking_02
NEO,0.78,1,Seek danger.,Excitement-Seeking,3267,NEO_Excitement-Seeking,NEO_Excitement-Seeking_03
NEO,0.78,1,Act wild and crazy.,Excitement-Seeking,3268,NEO_Excitement-Seeking,NEO_Excitement-Seeking_04
NEO,0.78,1,Willing to try anything once.,Excitement-Seeking,3269,NEO_Excitement-Seeking,NEO_Excitement-Seeking_05
NEO,0.78,1,Seek adventure.,Excitement-Seeking,3270,NEO_Excitement-Seeking,NEO_Excitement-Seeking_06
NEO,0.78,1,Love action.,Excitement-Seeking,3271,NEO_Excitement-Seeking,NEO_Excitement-Seeking_07
NEO,0.78,1,Enjoy being reckless.,Excitement-Seeking,3272,NEO_Excitement-Seeking,NEO_Excitement-Seeking_08
NEO,0.78,-1,Dislike loud music.,Excitement-Seeking,3273,NEO_Excitement-Seeking,NEO_Excitement-Seeking_09
NEO,0.78,-1,Would never go hang gliding or bungee jumping.,Excitement-Seeking,3274,NEO_Excitement-Seeking,NEO_Excitement-Seeking_10
NEO,0.87,1,Make friends easily.,Friendliness,3275,NEO_Friendliness,NEO_Friendliness_01
NEO,0.87,1,Act comfortably with others.,Friendliness,3276,NEO_Friendliness,NEO_Friendliness_02
NEO,0.87,1,Feel comfortable around people.,Friendliness,3277,NEO_Friendliness,NEO_Friendliness_03
NEO,0.87,1,Cheer people up.,Friendliness,3278,NEO_Friendliness,NEO_Friendliness_04
NEO,0.87,1,Warm up quickly to others.,Friendliness,3279,NEO_Friendliness,NEO_Friendliness_05
NEO,0.87,-1,Keep others at a distance.,Friendliness,3280,NEO_Friendliness,NEO_Friendliness_06
NEO,0.87,-1,Often feel uncomfortable around others.,Friendliness,3281,NEO_Friendliness,NEO_Friendliness_07
NEO,0.87,-1,Avoid contacts with others.,Friendliness,3282,NEO_Friendliness,NEO_Friendliness_08
NEO,0.87,-1,Am not really interested in others.,Friendliness,3283,NEO_Friendliness,NEO_Friendliness_09
NEO,0.87,-1,Am hard to get to know.,Friendliness,3284,NEO_Friendliness,NEO_Friendliness_10
NEO,0.79,1,Enjoy being part of a group.,Gregariousness,3285,NEO_Gregariousness,NEO_Gregariousness_01
NEO,0.79,1,Involve others in what I am doing.,Gregariousness,3286,NEO_Gregariousness,NEO_Gregariousness_02
NEO,0.79,1,Love surprise parties.,Gregariousness,3287,NEO_Gregariousness,NEO_Gregariousness_03
NEO,0.79,1,Talk to a lot of different people at parties.,Gregariousness,3288,NEO_Gregariousness,NEO_Gregariousness_04
NEO,0.79,1,Love large parties.,Gregariousness,3289,NEO_Gregariousness,NEO_Gregariousness_05
NEO,0.79,-1,Prefer to be alone.,Gregariousness,3290,NEO_Gregariousness,NEO_Gregariousness_06
NEO,0.79,-1,Seek quiet.,Gregariousness,3291,NEO_Gregariousness,NEO_Gregariousness_07
NEO,0.79,-1,Don't like crowded events.,Gregariousness,3292,NEO_Gregariousness,NEO_Gregariousness_08
NEO,0.79,-1,Avoid crowds.,Gregariousness,3293,NEO_Gregariousness,NEO_Gregariousness_09
NEO,0.79,-1,Want to be left alone.,Gregariousness,3294,NEO_Gregariousness,NEO_Gregariousness_10
NEO,0.83,1,Like to get lost in thought.,Imagination,3295,NEO_Imagination,NEO_Imagination_01
NEO,0.83,1,Enjoy wild flights of fantasy.,Imagination,3296,NEO_Imagination,NEO_Imagination_02
NEO,0.83,1,Love to daydream.,Imagination,3297,NEO_Imagination,NEO_Imagination_03
NEO,0.83,1,Indulge in my fantasies.,Imagination,3298,NEO_Imagination,NEO_Imagination_04
NEO,0.83,1,Have a vivid imagination.,Imagination,3299,NEO_Imagination,NEO_Imagination_05
NEO,0.83,1,Spend time reflecting on things.,Imagination,3300,NEO_Imagination,NEO_Imagination_06
NEO,0.83,-1,Seldom daydream.,Imagination,3301,NEO_Imagination,NEO_Imagination_07
NEO,0.83,-1,Have difficulty imagining things.,Imagination,3302,NEO_Imagination,NEO_Imagination_08
NEO,0.83,-1,Seldom get lost in thought.,Imagination,3303,NEO_Imagination,NEO_Imagination_09
NEO,0.83,-1,Do not have a good imagination.,Imagination,3304,NEO_Imagination,NEO_Imagination_10
NEO,0.77,1,Love to eat.,Immoderation,3305,NEO_Immoderation,NEO_Immoderation_01
NEO,0.77,1,Often eat too much.,Immoderation,3306,NEO_Immoderation,NEO_Immoderation_02
NEO,0.77,1,Don't know why I do some of the things I do.,Immoderation,3307,NEO_Immoderation,NEO_Immoderation_03
NEO,0.77,1,Do things I later regret.,Immoderation,3308,NEO_Immoderation,NEO_Immoderation_04
NEO,0.77,1,Go on binges.,Immoderation,3309,NEO_Immoderation,NEO_Immoderation_05
NEO,0.77,-1,Rarely overindulge.,Immoderation,3310,NEO_Immoderation,NEO_Immoderation_06
NEO,0.77,-1,Am able to control my cravings.,Immoderation,3311,NEO_Immoderation,NEO_Immoderation_07
NEO,0.77,-1,Never splurge.,Immoderation,3312,NEO_Immoderation,NEO_Immoderation_08
NEO,0.77,-1,Never spend more than I can afford.,Immoderation,3313,NEO_Immoderation,NEO_Immoderation_09
NEO,0.77,-1,Easily resist temptations.,Immoderation,3314,NEO_Immoderation,NEO_Immoderation_10
NEO,0.86,1,Can handle a lot of information.,Intellect,3315,NEO_Intellect,NEO_Intellect_01
NEO,0.86,1,Enjoy thinking about things.,Intellect,3316,NEO_Intellect,NEO_Intellect_02
NEO,0.86,1,Have a rich vocabulary.,Intellect,3317,NEO_Intellect,NEO_Intellect_03
NEO,0.86,1,Like to solve complex problems.,Intellect,3318,NEO_Intellect,NEO_Intellect_04
NEO,0.86,1,Love to read challenging material.,Intellect,3319,NEO_Intellect,NEO_Intellect_05
NEO,0.86,-1,Am not interested in theoretical discussions.,Intellect,3320,NEO_Intellect,NEO_Intellect_06
NEO,0.86,-1,Have difficulty understanding abstract ideas.,Intellect,3321,NEO_Intellect,NEO_Intellect_07
NEO,0.86,-1,Avoid difficult reading material.,Intellect,3322,NEO_Intellect,NEO_Intellect_08
NEO,0.86,-1,Am not interested in abstract ideas.,Intellect,3323,NEO_Intellect,NEO_Intellect_09
NEO,0.86,-1,Avoid philosophical discussions.,Intellect,3324,NEO_Intellect,NEO_Intellect_10
NEO,0.86,1,Believe that there is no absolute right or wrong.,Liberalism,3325,NEO_Liberalism,NEO_Liberalism_01
NEO,0.86,1,Tend to vote for liberal political candidates.,Liberalism,3326,NEO_Liberalism,NEO_Liberalism_02
NEO,0.86,1,Believe that criminals should receive help rather than punishment.,Liberalism,3327,NEO_Liberalism,NEO_Liberalism_03
NEO,0.86,-1,Believe laws should be strictly enforced.,Liberalism,3328,NEO_Liberalism,NEO_Liberalism_04
NEO,0.86,-1,Believe that we coddle criminals too much.,Liberalism,3329,NEO_Liberalism,NEO_Liberalism_05
NEO,0.86,-1,Tend to vote for conservative political candidates.,Liberalism,3330,NEO_Liberalism,NEO_Liberalism_06
NEO,0.86,-1,Believe that too much tax money goes to support artists.,Liberalism,3331,NEO_Liberalism,NEO_Liberalism_07
NEO,0.86,-1,Believe that we should be tough on crime.,Liberalism,3332,NEO_Liberalism,NEO_Liberalism_08
NEO,0.86,-1,Like to stand during the national anthem.,Liberalism,3333,NEO_Liberalism,NEO_Liberalism_09
NEO,0.86,-1,Believe in one true religion.,Liberalism,3334,NEO_Liberalism,NEO_Liberalism_10
NEO,0.77,1,Dislike being the center of attention.,Modesty/Humility,3335,NEO_Modesty/Humility,NEO_Modesty/Humility_01
NEO,0.77,1,Dislike talking about myself.,Modesty/Humility,3336,NEO_Modesty/Humility,NEO_Modesty/Humility_02
NEO,0.77,1,Seldom toot my own horn.,Modesty/Humility,3337,NEO_Modesty/Humility,NEO_Modesty/Humility_03
NEO,0.77,1,Consider myself an average person.,Modesty/Humility,3338,NEO_Modesty/Humility,NEO_Modesty/Humility_04
NEO,0.77,-1,Believe that I am better than others.,Modesty/Humility,3339,NEO_Modesty/Humility,NEO_Modesty/Humility_05
NEO,0.77,-1,Think highly of myself.,Modesty/Humility,3340,NEO_Modesty/Humility,NEO_Modesty/Humility_06
NEO,0.77,-1,Boast about my virtues.,Modesty/Humility,3341,NEO_Modesty/Humility,NEO_Modesty/Humility_07
NEO,0.77,-1,Have a high opinion of myself.,Modesty/Humility,3342,NEO_Modesty/Humility,NEO_Modesty/Humility_08
NEO,0.77,-1,Know the answers to many questions.,Modesty/Humility,3343,NEO_Modesty/Humility,NEO_Modesty/Humility_09
NEO,0.77,-1,Make myself the center of attention.,Modesty/Humility,3344,NEO_Modesty/Humility,NEO_Modesty/Humility_10
NEO,0.75,1,Would never cheat on my taxes.,Morality,3345,NEO_Morality,NEO_Morality_01
NEO,0.75,1,Stick to the rules.,Morality,3346,NEO_Morality,NEO_Morality_02
NEO,0.75,-1,Take advantage of others.,Morality,3347,NEO_Morality,NEO_Morality_03
NEO,0.75,-1,Use flattery to get ahead.,Morality,3348,NEO_Morality,NEO_Morality_04
NEO,0.75,-1,Know how to get around the rules.,Morality,3349,NEO_Morality,NEO_Morality_05
NEO,0.75,-1,Put people under pressure.,Morality,3350,NEO_Morality,NEO_Morality_06
NEO,0.75,-1,Obstruct others' plans.,Morality,3351,NEO_Morality,NEO_Morality_07
NEO,0.75,-1,Use others for my own ends.,Morality,3352,NEO_Morality,NEO_Morality_08
NEO,0.75,-1,Cheat to get ahead.,Morality,3353,NEO_Morality,NEO_Morality_09
NEO,0.75,-1,Pretend to be concerned for others.,Morality,3354,NEO_Morality,NEO_Morality_10
NEO,0.82,1,Like order.,Orderliness,3355,NEO_Orderliness,NEO_Orderliness_01
NEO,0.82,1,Do things according to a plan.,Orderliness,3356,NEO_Orderliness,NEO_Orderliness_02
NEO,0.82,1,Want everything to be just right.,Orderliness,3357,NEO_Orderliness,NEO_Orderliness_03
NEO,0.82,1,Love order and regularity.,Orderliness,3358,NEO_Orderliness,NEO_Orderliness_04
NEO,0.82,1,Like to tidy up.,Orderliness,3359,NEO_Orderliness,NEO_Orderliness_05
NEO,0.82,-1,Often forget to put things back in their proper place.,Orderliness,3360,NEO_Orderliness,NEO_Orderliness_06
NEO,0.82,-1,Leave a mess in my room.,Orderliness,3361,NEO_Orderliness,NEO_Orderliness_07
NEO,0.82,-1,Am not bothered by messy people.,Orderliness,3362,NEO_Orderliness,NEO_Orderliness_08
NEO,0.82,-1,Am not bothered by disorder.,Orderliness,3363,NEO_Orderliness,NEO_Orderliness_09
NEO,0.82,-1,Leave my belongings around.,Orderliness,3364,NEO_Orderliness,NEO_Orderliness_10
NEO,0.8,1,Find it difficult to approach others.,Self-consciousness,3365,NEO_Self-consciousness,NEO_Self-consciousness_01
NEO,0.8,1,Am easily intimidated.,Self-consciousness,3366,NEO_Self-consciousness,NEO_Self-consciousness_02
NEO,0.8,1,Only feel comfortable with friends.,Self-consciousness,3367,NEO_Self-consciousness,NEO_Self-consciousness_03
NEO,0.8,1,Stumble over my words.,Self-consciousness,3368,NEO_Self-consciousness,NEO_Self-consciousness_04
NEO,0.8,1,Am afraid to draw attention to myself.,Self-consciousness,3369,NEO_Self-consciousness,NEO_Self-consciousness_05
NEO,0.8,1,Am afraid that I will do the wrong thing.,Self-consciousness,3370,NEO_Self-consciousness,NEO_Self-consciousness_06
NEO,0.8,-1,Am not embarrassed easily.,Self-consciousness,3371,NEO_Self-consciousness,NEO_Self-consciousness_07
NEO,0.8,-1,Am able to stand up for myself.,Self-consciousness,3372,NEO_Self-consciousness,NEO_Self-consciousness_08
NEO,0.8,-1,Am comfortable in unfamiliar situations.,Self-consciousness,3373,NEO_Self-consciousness,NEO_Self-consciousness_09
NEO,0.8,-1,Am not bothered by difficult social situations.,Self-consciousness,3374,NEO_Self-consciousness,NEO_Self-consciousness_10
NEO,0.85,1,Get chores done right away.,Self-Discipline,3375,NEO_Self-Discipline,NEO_Self-Discipline_01
NEO,0.85,1,Am always prepared.,Self-Discipline,3376,NEO_Self-Discipline,NEO_Self-Discipline_02
NEO,0.85,1,Get to work at once.,Self-Discipline,3377,NEO_Self-Discipline,NEO_Self-Discipline_03
